Node_1 Node_2 Capacity_node1 Capacity_node2 Latency_arc node_cost
nb_nodes 25
nb_arcs 326
0 3 4 2 8 888
0 5 4 4 7 888
0 6 4 1 23 888
0 7 4 4 5 888
0 9 4 3 16 888
0 11 4 1 19 888
0 13 4 3 14 888
0 15 4 3 25 888
0 18 4 4 19 888
0 19 4 4 20 888
0 23 4 1 23 888
1 2 3 4 25 123
1 3 3 2 20 123
1 4 3 3 13 123
1 7 3 4 8 123
1 9 3 3 21 123
1 10 3 3 2 123
1 11 3 1 5 123
1 14 3 3 13 123
1 15 3 3 22 123
1 16 3 2 20 123
1 19 3 4 12 123
1 20 3 1 5 123
1 21 3 1 3 123
1 22 3 3 8 123
2 1 4 3 25 706
2 3 4 2 6 706
2 4 4 3 21 706
2 5 4 4 25 706
2 6 4 1 18 706
2 9 4 3 16 706
2 12 4 3 21 706
2 13 4 3 8 706
2 16 4 2 2 706
2 20 4 1 16 706
2 21 4 1 2 706
2 22 4 3 13 706
2 23 4 1 10 706
3 0 2 4 8 819
3 1 2 3 20 819
3 2 2 4 6 819
3 4 2 3 18 819
3 6 2 1 6 819
3 7 2 4 11 819
3 9 2 3 22 819
3 10 2 3 17 819
3 11 2 1 17 819
3 12 2 3 2 819
3 14 2 3 22 819
3 16 2 2 2 819
3 18 2 4 11 819
3 20 2 1 23 819
3 21 2 1 8 819
3 24 2 4 9 819
4 1 3 3 13 412
4 2 3 4 21 412
4 3 3 2 18 412
4 6 3 1 5 412
4 9 3 3 7 412
4 10 3 3 2 412
4 13 3 3 4 412
4 16 3 2 9 412
4 19 3 4 14 412
4 20 3 1 9 412
4 24 3 4 7 412
5 0 4 4 7 843
5 2 4 4 25 843
5 6 4 1 19 843
5 7 4 4 15 843
5 8 4 1 13 843
5 13 4 3 17 843
5 15 4 3 8 843
5 18 4 4 17 843
6 0 1 4 23 433
6 2 1 4 18 433
6 3 1 2 6 433
6 4 1 3 5 433
6 5 1 4 19 433
6 7 1 4 20 433
6 9 1 3 22 433
6 10 1 3 2 433
6 12 1 3 1 433
6 13 1 3 6 433
6 14 1 3 11 433
6 15 1 3 2 433
6 17 1 1 3 433
6 18 1 4 13 433
6 19 1 4 10 433
6 23 1 1 18 433
7 0 4 4 5 990
7 1 4 3 8 990
7 3 4 2 11 990
7 5 4 4 15 990
7 6 4 1 20 990
7 9 4 3 9 990
7 10 4 3 14 990
7 13 4 3 23 990
7 15 4 3 13 990
7 16 4 2 16 990
7 18 4 4 5 990
7 19 4 4 16 990
7 20 4 1 18 990
7 22 4 3 10 990
7 23 4 1 22 990
7 24 4 4 25 990
8 5 1 4 13 400
8 9 1 3 16 400
8 12 1 3 3 400
8 14 1 3 10 400
8 16 1 2 9 400
8 21 1 1 4 400
8 22 1 3 15 400
9 0 3 4 16 921
9 1 3 3 21 921
9 2 3 4 16 921
9 3 3 2 22 921
9 4 3 3 7 921
9 6 3 1 22 921
9 7 3 4 9 921
9 8 3 1 16 921
9 11 3 1 9 921
9 15 3 3 15 921
9 16 3 2 10 921
9 18 3 4 1 921
9 19 3 4 6 921
9 20 3 1 4 921
9 22 3 3 8 921
9 23 3 1 2 921
9 24 3 4 15 921
10 1 3 3 2 139
10 3 3 2 17 139
10 4 3 3 2 139
10 6 3 1 2 139
10 7 3 4 14 139
10 11 3 1 10 139
10 12 3 3 6 139
10 13 3 3 15 139
10 14 3 3 4 139
10 16 3 2 23 139
10 17 3 1 3 139
10 19 3 4 15 139
10 20 3 1 6 139
10 23 3 1 15 139
10 24 3 4 12 139
11 0 1 4 19 355
11 1 1 3 5 355
11 3 1 2 17 355
11 9 1 3 9 355
11 10 1 3 10 355
11 12 1 3 24 355
11 14 1 3 13 355
11 15 1 3 8 355
