Source Destination Bandwidth Latency
nb_commodities 50
45 35 2 9
30 48 3 12
31 17 2 9
18 26 3 12
19 44 1 4
9 8 3 10
45 38 2 7
43 13 3 10
11 13 1 15
26 9 2 6
9 24 3 3
6 21 3 12
15 36 2 12
41 14 2 6
47 10 1 9
7 46 2 7
2 19 3 7
33 25 2 12
47 16 2 9
27 2 3 10
44 28 1 13
13 34 1 7
26 25 1 12
42 38 2 7
39 26 1 12
24 22 3 9
19 47 2 6
10 14 2 6
6 25 1 10
25 39 3 12
43 45 2 7
28 7 3 18
16 49 3 12
47 18 1 10
47 42 1 12
4 41 3 6
14 3 2 9
23 39 2 7
35 34 3 10
43 5 3 10
16 6 1 10
14 20 1 10
42 26 2 13
30 2 3 12
35 23 3 10
7 41 1 10
16 28 2 12
39 28 2 18
44 39 2 9
27 30 2 9
